Booking_ID,Date,Month,Week,Time,Ticket_Type,Booking_Mode,From_Station,To_Station,Passengers,Total_Fare,Payment_Type,Railway_Line,City,Day_Name,Is_Weekend,Hour,Fare_Per_Passenger
18457,2025-04-16,Apr,16,1:04:17,Monthly Pass,Paperless,Thane,Cst,3,0,Upi,Central,Mumbai,Wednesday,0,1,0.0
88302,2025-03-15,Mar,11,0:56:37,Return,Paperless,Kurla,Vashi,2,60,Cash,Harbour,Mumbai,Saturday,1,0,30.0
50536,2025-10-13,Oct,42,11:23:54,Monthly Pass,Paper,Kurla,Cst,3,0,Wallet,Central,Mumbai,Monday,0,11,0.0
77155,2025-07-16,Jul,29,19:36:03,Monthly Pass,Paperless,Dadar,Marine Lines,3,0,Credit Card,Western,Mumbai,Wednesday,0,19,0.0
42200,2025-03-09,Mar,11,8:35:10,Return,Paper,Thane,Cst,1,30,Credit Card,Central,Mumbai,Sunday,1,8,30.0
94315,2025-11-30,Nov,49,10:26:51,Single,Paper,Akurdi,Khadki,3,45,Credit Card,Pune,Pune,Sunday,1,10,15.0
38518,2025-02-24,Feb,9,7:16:49,Return,Paper,Khadki,Akurdi,2,60,Wallet,Pune,Pune,Monday,0,7,30.0
11485,2025-06-21,Jun,25,23:19:50,Monthly Pass,Paperless,Vashi,Wadala,3,0,Wallet,Harbour,Mumbai,Saturday,1,23,0.0
72224,2025-09-15,Sep,38,11:32:36,Monthly Pass,Paper,Kurla,Cst,3,0,Credit Card,Harbour,Mumbai,Monday,0,11,0.0
10460,2025-04-16,Apr,16,20:43:08,Return,Paperless,Pune Jn,Shivajinagar,3,90,Debit Card,Pune,Pune,Wednesday,0,20,30.0
16347,2025-03-04,Mar,10,12:51:10,Monthly Pass,Paper,Dadar,Churchgate,4,0,Debit Card,Western,Mumbai,Tuesday,0,12,0.0
93204,2025-08-01,Aug,31,17:35:41,Monthly Pass,Paperless,Dadar,Virar,2,0,Credit Card,Western,Mumbai,Friday,0,17,0.0
72137,2025-03-08,Mar,10,7:22:00,Monthly Pass,Paperless,Cst,Panvel,2,0,Cash,Harbour,Mumbai,Saturday,1,7,0.0
84947,2025-01-11,Jan,2,21:28:39,Return,Paperless,Byculla,Kalyan,4,120,Cash,Central,Mumbai,Saturday,1,21,30.0
94026,2025-07-15,Jul,29,1:21:29,Monthly Pass,Paperless,Shivajinagar,Pune Jn,4,0,Credit Card,Pune,Pune,Tuesday,0,1,0.0
77549,2025-06-22,Jun,26,22:01:32,Monthly Pass,Paperless,Cst,Wadala,3,0,Wallet,Harbour,Mumbai,Sunday,1,22,0.0
38890,2025-08-15,Aug,33,19:58:30,Single,Paper,Marine Lines,Andheri,2,30,Upi,Western,Mumbai,Friday,0,19,15.0
17468,2025-04-11,Apr,15,22:03:20,Single,Paperless,Vashi,Wadala,4,60,Wallet,Harbour,Mumbai,Friday,0,22,15.0
33972,2025-08-01,Aug,31,14:44:32,Monthly Pass,Paper,Cst,Wadala,2,0,Credit Card,Harbour,Mumbai,Friday,0,14,0.0
69207,2025-03-09,Mar,11,9:57:51,Monthly Pass,Paper,Kalyan,Dadar,3,0,Debit Card,Central,Mumbai,Sunday,1,9,0.0
35021,2025-10-20,Oct,43,4:35:42,Single,Paper,Thane,Kurla,3,45,Upi,Central,Mumbai,Monday,0,4,15.0
44798,2025-10-20,Oct,43,17:15:07,Single,Paper,Kurla,Wadala,3,45,Upi,Harbour,Mumbai,Monday,0,17,15.0
26257,2025-06-13,Jun,24,1:21:39,Single,Paper,Panvel,Vashi,2,30,Cash,Harbour,Mumbai,Friday,0,1,15.0
77611,2025-10-21,Oct,43,22:15:48,Monthly Pass,Paperless,Panvel,Cst,4,0,Debit Card,Harbour,Mumbai,Tuesday,0,22,0.0
80231,2025-05-23,May,21,3:26:30,Single,Paper,Marine Lines,Borivali,4,60,Wallet,Western,Mumbai,Friday,0,3,15.0
23068,2025-05-28,May,22,2:59:45,Return,Paperless,Cst,Panvel,1,30,Cash,Harbour,Mumbai,Wednesday,0,2,30.0
89502,2025-03-30,Mar,14,7:30:23,Return,Paperless,Borivali,Marine Lines,4,120,Debit Card,Western,Mumbai,Sunday,1,7,30.0
13577,2025-09-27,Sep,39,5:37:53,Monthly Pass,Paper,Cst,Vashi,1,0,Upi,Harbour,Mumbai,Saturday,1,5,0.0
14156,2025-07-27,Jul,31,17:41:06,Return,Paperless,Khadki,Shivajinagar,2,60,Upi,Pune,Pune,Sunday,1,17,30.0
85294,2025-09-03,Sep,36,13:31:15,Return,Paper,Kalyan,Kurla,1,30,Cash,Central,Mumbai,Wednesday,0,13,30.0
24362,2025-02-11,Feb,7,1:41:11,Monthly Pass,Paper,Pune Jn,Akurdi,3,0,Credit Card,Pune,Pune,Tuesday,0,1,0.0
36300,2025-05-23,May,21,6:49:43,Monthly Pass,Paperless,Dadar,Byculla,3,0,Wallet,Central,Mumbai,Friday,0,6,0.0
55693,2025-11-04,Nov,45,17:41:12,Return,Paper,Panvel,Cst,2,60,Upi,Harbour,Mumbai,Tuesday,0,17,30.0
88473,2025-01-01,Jan,1,10:55:34,Monthly Pass,Paperless,Shivajinagar,Khadki,4,0,Upi,Pune,Pune,Wednesday,0,10,0.0
86996,2025-09-22,Sep,39,18:12:46,Monthly Pass,Paper,Cst,Kurla,1,0,Cash,Central,Mumbai,Monday,0,18,0.0
12776,2025-07-20,Jul,30,10:48:31,Return,Paper,Shivajinagar,Pune Jn,1,30,Credit Card,Pune,Pune,Sunday,1,10,30.0
35902,2025-11-22,Nov,47,19:27:16,Monthly Pass,Paperless,Pune Jn,Khadki,2,0,Upi,Pune,Pune,Saturday,1,19,0.0
62591,2025-12-02,Dec,49,19:44:24,Single,Paper,Wadala,Panvel,4,60,Credit Card,Harbour,Mumbai,Tuesday,0,19,15.0
34076,2025-12-01,Dec,49,9:46:05,Single,Paper,Vashi,Kurla,2,30,Upi,Harbour,Mumbai,Monday,0,9,15.0
31072,2025-04-05,Apr,14,15:51:58,Monthly Pass,Paper,Andheri,Churchgate,3,0,Debit Card,Western,Mumbai,Saturday,1,15,0.0
34661,2025-03-03,Mar,10,16:13:38,Return,Paper,Shivajinagar,Akurdi,3,90,Debit Card,Pune,Pune,Monday,0,16,30.0
59081,2025-12-11,Dec,50,6:53:51,Monthly Pass,Paper,Borivali,Virar,2,0,Cash,Western,Mumbai,Thursday,0,6,0.0
57634,2025-11-09,Nov,46,8:08:15,Single,Paperless,Dadar,Virar,2,30,Credit Card,Western,Mumbai,Sunday,1,8,15.0
85971,2025-04-15,Apr,16,23:09:47,Return,Paperless,Borivali,Dadar,1,30,Credit Card,Western,Mumbai,Tuesday,0,23,30.0
91889,2025-10-03,Oct,40,0:06:05,Return,Paperless,Shivajinagar,Akurdi,2,60,Wallet,Pune,Pune,Friday,0,0,30.0
71833,2025-12-15,Dec,51,16:42:05,Monthly Pass,Paper,Pune Jn,Shivajinagar,1,0,Credit Card,Pune,Pune,Monday,0,16,0.0
54153,2025-04-19,Apr,16,23:34:54,Return,Paper,Pune Jn,Khadki,3,90,Cash,Pune,Pune,Saturday,1,23,30.0
46583,2025-11-06,Nov,45,2:02:59,Single,Paper,Virar,Borivali,4,60,Credit Card,Western,Mumbai,Thursday,0,2,15.0
80551,2025-08-14,Aug,33,20:28:50,Single,Paperless,Byculla,Kurla,2,30,Credit Card,Central,Mumbai,Thursday,0,20,15.0
89701,2025-08-21,Aug,34,15:15:49,Return,Paperless,Marine Lines,Andheri,2,60,Credit Card,Western,Mumbai,Thursday,0,15,30.0
92169,2025-09-21,Sep,39,21:08:59,Return,Paperless,Andheri,Virar,2,60,Wallet,Western,Mumbai,Sunday,1,21,30.0
14923,2025-05-23,May,21,11:15:33,Return,Paper,Pune Jn,Akurdi,2,60,Cash,Pune,Pune,Friday,0,11,30.0
90956,2025-11-12,Nov,46,2:59:56,Return,Paper,Churchgate,Dadar,1,30,Debit Card,Western,Mumbai,Wednesday,0,2,30.0
48809,2025-08-12,Aug,33,8:59:03,Return,Paper,Akurdi,Shivajinagar,2,60,Credit Card,Pune,Pune,Tuesday,0,8,30.0
38355,2025-12-04,Dec,49,21:57:46,Single,Paper,Kurla,Kalyan,3,45,Debit Card,Central,Mumbai,Thursday,0,21,15.0
86933,2025-05-21,May,21,6:49:25,Single,Paper,Pune Jn,Khadki,2,30,Credit Card,Pune,Pune,Wednesday,0,6,15.0
23141,2025-12-03,Dec,49,4:26:51,Single,Paperless,Churchgate,Andheri,1,15,Wallet,Western,Mumbai,Wednesday,0,4,15.0
86663,2025-02-06,Feb,6,19:50:24,Monthly Pass,Paper,Dadar,Marine Lines,2,0,Upi,Western,Mumbai,Thursday,0,19,0.0
10533,2025-09-01,Sep,36,13:00:09,Return,Paperless,Borivali,Marine Lines,4,120,Cash,Western,Mumbai,Monday,0,13,30.0
29717,2025-03-23,Mar,13,5:11:10,Single,Paperless,Shivajinagar,Akurdi,4,60,Credit Card,Pune,Pune,Sunday,1,5,15.0
61213,2025-11-07,Nov,45,9:11:11,Single,Paper,Akurdi,Shivajinagar,4,60,Debit Card,Pune,Pune,Friday,0,9,15.0
72073,2025-01-03,Jan,1,7:19:04,Monthly Pass,Paper,Dadar,Andheri,3,0,Credit Card,Western,Mumbai,Friday,0,7,0.0
66005,2025-04-17,Apr,16,5:06:50,Return,Paper,Andheri,Borivali,1,30,Debit Card,Western,Mumbai,Thursday,0,5,30.0
79790,2025-12-18,Dec,51,16:59:08,Monthly Pass,Paperless,Kurla,Panvel,3,0,Credit Card,Harbour,Mumbai,Thursday,0,16,0.0
47944,2025-10-24,Oct,43,18:48:53,Return,Paperless,Panvel,Wadala,1,30,Wallet,Harbour,Mumbai,Friday,0,18,30.0
71824,2025-12-06,Dec,49,10:16:28,Single,Paperless,Pune Jn,Khadki,3,45,Wallet,Pune,Pune,Saturday,1,10,15.0
61820,2025-12-25,Dec,52,21:12:05,Monthly Pass,Paper,Wadala,Panvel,1,0,Wallet,Harbour,Mumbai,Thursday,0,21,0.0
53987,2025-01-30,Jan,5,0:41:12,Monthly Pass,Paper,Wadala,Vashi,1,0,Credit Card,Harbour,Mumbai,Thursday,0,0,0.0
62336,2025-03-08,Mar,10,10:22:39,Monthly Pass,Paperless,Khadki,Pune Jn,4,0,Cash,Pune,Pune,Saturday,1,10,0.0
14578,2025-01-01,Jan,1,7:14:41,Single,Paperless,Dadar,Marine Lines,4,60,Cash,Western,Mumbai,Wednesday,0,7,15.0
58157,2025-12-12,Dec,50,4:44:05,Single,Paper,Thane,Dadar,4,60,Credit Card,Central,Mumbai,Friday,0,4,15.0
16807,2025-11-29,Nov,48,16:21:32,Return,Paper,Kalyan,Cst,1,30,Wallet,Central,Mumbai,Saturday,1,16,30.0
55820,2025-09-14,Sep,38,6:38:35,Monthly Pass,Paperless,Kalyan,Byculla,2,0,Credit Card,Central,Mumbai,Sunday,1,6,0.0
36391,2025-06-07,Jun,23,4:25:27,Single,Paperless,Thane,Cst,2,30,Debit Card,Central,Mumbai,Saturday,1,4,15.0
85247,2025-05-20,May,21,10:32:09,Monthly Pass,Paper,Cst,Dadar,3,0,Debit Card,Central,Mumbai,Tuesday,0,10,0.0
44936,2025-10-18,Oct,42,19:11:11,Single,Paperless,Panvel,Cst,1,15,Credit Card,Harbour,Mumbai,Saturday,1,19,15.0
44982,2025-04-02,Apr,14,1:55:49,Return,Paperless,Khadki,Shivajinagar,4,120,Wallet,Pune,Pune,Wednesday,0,1,30.0
79968,2025-05-31,May,22,0:28:24,Return,Paper,Khadki,Pune Jn,1,30,Debit Card,Pune,Pune,Saturday,1,0,30.0
26285,2025-12-16,Dec,51,4:34:50,Return,Paperless,Panvel,Cst,4,120,Cash,Harbour,Mumbai,Tuesday,0,4,30.0
93077,2025-05-06,May,19,11:15:33,Single,Paper,Khadki,Pune Jn,2,30,Upi,Pune,Pune,Tuesday,0,11,15.0
81629,2025-05-13,May,20,0:14:51,Monthly Pass,Paper,Akurdi,Pune Jn,1,0,Upi,Pune,Pune,Tuesday,0,0,0.0
35382,2025-06-23,Jun,26,7:10:29,Return,Paper,Shivajinagar,Akurdi,4,120,Debit Card,Pune,Pune,Monday,0,7,30.0
41413,2025-10-04,Oct,40,7:46:53,Monthly Pass,Paperless,Churchgate,Marine Lines,4,0,Wallet,Western,Mumbai,Saturday,1,7,0.0
16922,2025-10-19,Oct,43,3:48:12,Single,Paperless,Kalyan,Cst,4,60,Debit Card,Central,Mumbai,Sunday,1,3,15.0
76434,2025-09-29,Sep,40,16:17:21,Single,Paperless,Borivali,Andheri,4,60,Wallet,Western,Mumbai,Monday,0,16,15.0
34962,2025-08-10,Aug,33,21:05:51,Return,Paper,Khadki,Pune Jn,1,30,Wallet,Pune,Pune,Sunday,1,21,30.0
96556,2025-04-18,Apr,16,15:43:37,Monthly Pass,Paper,Marine Lines,Borivali,4,0,Upi,Western,Mumbai,Friday,0,15,0.0
58895,2025-07-20,Jul,30,5:19:38,Return,Paper,Kurla,Panvel,4,120,Credit Card,Harbour,Mumbai,Sunday,1,5,30.0
67552,2025-04-15,Apr,16,0:15:56,Monthly Pass,Paper,Borivali,Marine Lines,4,0,Upi,Western,Mumbai,Tuesday,0,0,0.0
83764,2025-07-11,Jul,28,16:27:44,Monthly Pass,Paperless,Cst,Byculla,1,0,Debit Card,Central,Mumbai,Friday,0,16,0.0
16447,2025-09-10,Sep,37,18:12:58,Single,Paperless,Cst,Vashi,3,45,Upi,Harbour,Mumbai,Wednesday,0,18,15.0
47322,2025-04-21,Apr,17,23:03:23,Single,Paperless,Akurdi,Shivajinagar,1,15,Credit Card,Pune,Pune,Monday,0,23,15.0
53404,2025-08-17,Aug,34,11:41:39,Monthly Pass,Paperless,Shivajinagar,Khadki,3,0,Wallet,Pune,Pune,Sunday,1,11,0.0
15447,2025-10-21,Oct,43,9:45:29,Monthly Pass,Paper,Borivali,Virar,4,0,Credit Card,Western,Mumbai,Tuesday,0,9,0.0
41330,2025-07-29,Jul,31,3:33:27,Monthly Pass,Paper,Virar,Churchgate,3,0,Upi,Western,Mumbai,Tuesday,0,3,0.0
84480,2025-10-19,Oct,43,12:05:32,Monthly Pass,Paperless,Dadar,Kurla,2,0,Cash,Central,Mumbai,Sunday,1,12,0.0
52471,2025-10-16,Oct,42,21:46:16,Return,Paper,Khadki,Shivajinagar,3,90,Upi,Pune,Pune,Thursday,0,21,30.0
25039,2025-12-30,Dec,53,18:29:07,Single,Paperless,Marine Lines,Borivali,4,60,Wallet,Western,Mumbai,Tuesday,0,18,15.0
27571,2025-11-16,Nov,47,7:41:24,Single,Paperless,Borivali,Virar,2,30,Debit Card,Western,Mumbai,Sunday,1,7,15.0
17095,2025-08-28,Aug,35,13:35:29,Single,Paperless,Panvel,Vashi,4,60,Credit Card,Harbour,Mumbai,Thursday,0,13,15.0
20076,2025-05-01,May,18,10:21:23,Single,Paperless,Kurla,Cst,1,15,Debit Card,Central,Mumbai,Thursday,0,10,15.0
17145,2025-10-12,Oct,42,5:59:16,Return,Paperless,Churchgate,Borivali,4,120,Credit Card,Western,Mumbai,Sunday,1,5,30.0
67241,2025-04-08,Apr,15,12:30:29,Single,Paper,Cst,Kurla,3,45,Wallet,Harbour,Mumbai,Tuesday,0,12,15.0
23859,2025-06-08,Jun,24,1:28:19,Monthly Pass,Paper,Churchgate,Marine Lines,2,0,Credit Card,Western,Mumbai,Sunday,1,1,0.0
53348,2025-11-23,Nov,48,16:10:49,Single,Paperless,Khadki,Pune Jn,1,15,Upi,Pune,Pune,Sunday,1,16,15.0
90378,2025-03-11,Mar,11,9:02:54,Return,Paperless,Cst,Kurla,1,30,Credit Card,Central,Mumbai,Tuesday,0,9,30.0
77177,2025-02-24,Feb,9,11:06:45,Single,Paperless,Andheri,Borivali,1,15,Credit Card,Western,Mumbai,Monday,0,11,15.0
63202,2025-01-13,Jan,3,5:30:06,Return,Paperless,Akurdi,Khadki,3,90,Credit Card,Pune,Pune,Monday,0,5,30.0
35083,2025-12-22,Dec,52,7:07:46,Monthly Pass,Paper,Dadar,Borivali,4,0,Upi,Western,Mumbai,Monday,0,7,0.0
49578,2025-05-13,May,20,23:31:28,Monthly Pass,Paper,Khadki,Pune Jn,3,0,Cash,Pune,Pune,Tuesday,0,23,0.0
64473,2025-09-01,Sep,36,13:28:41,Return,Paper,Kurla,Cst,4,120,Debit Card,Harbour,Mumbai,Monday,0,13,30.0
90399,2025-02-13,Feb,7,9:46:37,Monthly Pass,Paperless,Cst,Thane,3,0,Cash,Central,Mumbai,Thursday,0,9,0.0
22054,2025-10-25,Oct,43,22:27:29,Return,Paperless,Khadki,Pune Jn,2,60,Debit Card,Pune,Pune,Saturday,1,22,30.0
64235,2025-02-15,Feb,7,13:52:35,Monthly Pass,Paperless,Kalyan,Byculla,3,0,Wallet,Central,Mumbai,Saturday,1,13,0.0
55569,2025-10-30,Oct,44,21:05:07,Return,Paper,Dadar,Cst,1,30,Debit Card,Central,Mumbai,Thursday,0,21,30.0
49390,2025-12-25,Dec,52,3:42:03,Return,Paperless,Kurla,Byculla,2,60,Upi,Central,Mumbai,Thursday,0,3,30.0
88555,2025-07-10,Jul,28,7:29:55,Single,Paperless,Andheri,Virar,2,30,Wallet,Western,Mumbai,Thursday,0,7,15.0
62559,2025-05-04,May,19,16:22:13,Return,Paper,Dadar,Kurla,1,30,Credit Card,Central,Mumbai,Sunday,1,16,30.0
51814,2025-10-06,Oct,41,5:59:00,Single,Paperless,Kurla,Dadar,4,60,Wallet,Central,Mumbai,Monday,0,5,15.0
13175,2025-08-13,Aug,33,2:36:02,Single,Paperless,Dadar,Cst,4,60,Upi,Central,Mumbai,Wednesday,0,2,15.0
87565,2025-02-09,Feb,7,11:11:50,Return,Paperless,Pune Jn,Shivajinagar,3,90,Debit Card,Pune,Pune,Sunday,1,11,30.0
91951,2025-02-21,Feb,8,3:59:07,Single,Paper,Vashi,Kurla,3,45,Debit Card,Harbour,Mumbai,Friday,0,3,15.0
21240,2025-02-15,Feb,7,1:29:14,Monthly Pass,Paper,Akurdi,Khadki,3,0,Wallet,Pune,Pune,Saturday,1,1,0.0
78177,2025-03-14,Mar,11,9:38:20,Monthly Pass,Paper,Shivajinagar,Pune Jn,4,0,Wallet,Pune,Pune,Friday,0,9,0.0
43524,2025-02-03,Feb,6,22:35:02,Return,Paperless,Borivali,Marine Lines,4,120,Debit Card,Western,Mumbai,Monday,0,22,30.0
33484,2025-03-23,Mar,13,20:41:18,Return,Paper,Akurdi,Shivajinagar,1,30,Upi,Pune,Pune,Sunday,1,20,30.0
68427,2025-03-27,Mar,13,19:29:46,Single,Paper,Vashi,Kurla,2,30,Debit Card,Harbour,Mumbai,Thursday,0,19,15.0
79494,2025-11-11,Nov,46,12:26:42,Return,Paperless,Kurla,Wadala,2,60,Credit Card,Harbour,Mumbai,Tuesday,0,12,30.0
41050,2025-06-03,Jun,23,10:56:32,Monthly Pass,Paper,Khadki,Akurdi,4,0,Credit Card,Pune,Pune,Tuesday,0,10,0.0
67704,2025-12-27,Dec,52,16:31:38,Return,Paperless,Akurdi,Shivajinagar,2,60,Credit Card,Pune,Pune,Saturday,1,16,30.0
19029,2025-06-13,Jun,24,20:28:18,Single,Paperless,Shivajinagar,Akurdi,1,15,Upi,Pune,Pune,Friday,0,20,15.0
60848,2025-12-16,Dec,51,15:38:15,Monthly Pass,Paperless,Cst,Wadala,1,0,Debit Card,Harbour,Mumbai,Tuesday,0,15,0.0
25888,2025-10-31,Oct,44,20:50:24,Single,Paper,Kurla,Cst,1,15,Upi,Harbour,Mumbai,Friday,0,20,15.0
42766,2025-07-16,Jul,29,17:15:42,Return,Paper,Cst,Kurla,4,120,Cash,Harbour,Mumbai,Wednesday,0,17,30.0
12555,2025-10-12,Oct,42,3:37:48,Return,Paperless,Borivali,Churchgate,2,60,Credit Card,Western,Mumbai,Sunday,1,3,30.0
25407,2025-08-27,Aug,35,10:10:43,Monthly Pass,Paper,Byculla,Kurla,4,0,Cash,Central,Mumbai,Wednesday,0,10,0.0
64230,2025-05-11,May,20,17:50:01,Return,Paperless,Dadar,Kurla,4,120,Cash,Central,Mumbai,Sunday,1,17,30.0
72225,2025-02-03,Feb,6,22:10:34,Single,Paper,Kurla,Panvel,3,45,Upi,Harbour,Mumbai,Monday,0,22,15.0
21656,2025-03-09,Mar,11,0:43:18,Single,Paper,Byculla,Kalyan,4,60,Credit Card,Central,Mumbai,Sunday,1,0,15.0
48319,2025-01-04,Jan,1,20:43:01,Return,Paperless,Panvel,Cst,1,30,Upi,Harbour,Mumbai,Saturday,1,20,30.0
96275,2025-04-22,Apr,17,2:55:36,Monthly Pass,Paper,Khadki,Akurdi,1,0,Debit Card,Pune,Pune,Tuesday,0,2,0.0
44452,2025-05-13,May,20,15:23:58,Return,Paper,Churchgate,Virar,3,90,Cash,Western,Mumbai,Tuesday,0,15,30.0
37887,2025-10-15,Oct,42,4:21:49,Monthly Pass,Paper,Khadki,Shivajinagar,3,0,Debit Card,Pune,Pune,Wednesday,0,4,0.0
11670,2025-06-22,Jun,26,7:54:06,Return,Paperless,Panvel,Wadala,2,60,Credit Card,Harbour,Mumbai,Sunday,1,7,30.0
77114,2025-06-20,Jun,25,19:19:36,Monthly Pass,Paperless,Wadala,Kurla,1,0,Cash,Harbour,Mumbai,Friday,0,19,0.0
75524,2025-06-30,Jun,27,7:09:58,Return,Paperless,Kalyan,Kurla,3,90,Debit Card,Central,Mumbai,Monday,0,7,30.0
78176,2025-10-12,Oct,42,5:18:15,Return,Paper,Kurla,Panvel,3,90,Wallet,Harbour,Mumbai,Sunday,1,5,30.0
94673,2025-08-31,Aug,36,18:26:55,Single,Paperless,Pune Jn,Khadki,2,30,Upi,Pune,Pune,Sunday,1,18,15.0
68715,2025-02-11,Feb,7,12:50:04,Monthly Pass,Paperless,Churchgate,Borivali,4,0,Debit Card,Western,Mumbai,Tuesday,0,12,0.0
54785,2025-05-12,May,20,16:14:52,Single,Paper,Akurdi,Shivajinagar,1,15,Credit Card,Pune,Pune,Monday,0,16,15.0
97268,2025-05-25,May,22,20:36:50,Monthly Pass,Paper,Khadki,Shivajinagar,4,0,Upi,Pune,Pune,Sunday,1,20,0.0
43625,2025-03-01,Mar,9,9:42:43,Return,Paper,Cst,Vashi,3,90,Cash,Harbour,Mumbai,Saturday,1,9,30.0
15334,2025-05-05,May,19,18:59:00,Single,Paper,Wadala,Cst,3,45,Wallet,Harbour,Mumbai,Monday,0,18,15.0
75037,2025-04-26,Apr,17,18:58:57,Monthly Pass,Paperless,Byculla,Cst,1,0,Upi,Central,Mumbai,Saturday,1,18,0.0
74202,2025-11-27,Nov,48,8:49:41,Monthly Pass,Paper,Virar,Borivali,3,0,Debit Card,Western,Mumbai,Thursday,0,8,0.0
43211,2025-01-19,Jan,4,15:55:23,Return,Paperless,Virar,Andheri,3,90,Debit Card,Western,Mumbai,Sunday,1,15,30.0
33288,2025-02-26,Feb,9,1:45:51,Single,Paperless,Marine Lines,Churchgate,4,60,Upi,Western,Mumbai,Wednesday,0,1,15.0
23257,2025-09-19,Sep,38,18:11:20,Monthly Pass,Paperless,Dadar,Cst,4,0,Upi,Central,Mumbai,Friday,0,18,0.0
26201,2025-12-17,Dec,51,8:02:15,Monthly Pass,Paper,Kurla,Cst,1,0,Upi,Central,Mumbai,Wednesday,0,8,0.0
83942,2025-04-11,Apr,15,4:02:05,Single,Paper,Pune Jn,Shivajinagar,2,30,Wallet,Pune,Pune,Friday,0,4,15.0
97577,2025-10-14,Oct,42,10:10:31,Monthly Pass,Paper,Khadki,Pune Jn,3,0,Credit Card,Pune,Pune,Tuesday,0,10,0.0
56523,2025-06-13,Jun,24,7:37:46,Monthly Pass,Paperless,Borivali,Virar,3,0,Cash,Western,Mumbai,Friday,0,7,0.0
23168,2025-07-22,Jul,30,5:56:55,Return,Paper,Cst,Byculla,1,30,Credit Card,Central,Mumbai,Tuesday,0,5,30.0
45487,2025-12-02,Dec,49,20:24:35,Monthly Pass,Paper,Wadala,Vashi,1,0,Debit Card,Harbour,Mumbai,Tuesday,0,20,0.0
88588,2025-08-14,Aug,33,14:34:10,Single,Paperless,Andheri,Churchgate,1,15,Credit Card,Western,Mumbai,Thursday,0,14,15.0
23631,2025-09-22,Sep,39,2:16:24,Return,Paperless,Khadki,Akurdi,1,30,Cash,Pune,Pune,Monday,0,2,30.0
74517,2025-01-31,Jan,5,14:22:56,Return,Paper,Borivali,Churchgate,1,30,Upi,Western,Mumbai,Friday,0,14,30.0
17561,2025-04-25,Apr,17,14:21:37,Monthly Pass,Paper,Andheri,Borivali,2,0,Wallet,Western,Mumbai,Friday,0,14,0.0
40064,2025-07-22,Jul,30,16:32:52,Single,Paperless,Borivali,Churchgate,2,30,Wallet,Western,Mumbai,Tuesday,0,16,15.0
55218,2025-10-23,Oct,43,7:02:03,Single,Paperless,Dadar,Byculla,4,60,Debit Card,Central,Mumbai,Thursday,0,7,15.0
